id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,metodo_pago,canal_venta,total_venta,mes,dia_semana,trimestre,tiene_devolucion,region,segmento,categoria,precio_lista,proveedor,descuento_relativo
2,2023-01-01,47,111,8,330096.0,Tarjeta Débito,Web,2640768.0,1,6,1,0,Metropolitana,Premium,Ropa,89542.0,ProvC,-1.0
3,2023-01-02,288,136,19,398324.0,Webpay,Tienda Física,7568156.0,1,0,1,0,Araucanía,Nuevo,Ropa,475353.0,ProvF,0.16204589010693107
5,2023-01-03,16,186,3,346487.0,Webpay,Marketplace,1039461.0,1,1,1,0,Coquimbo,Nuevo,Belleza,373276.0,ProvB,0.07176727140239395
6,2023-01-04,199,144,5,132767.0,Tarjeta Débito,Web,663835.0,1,2,1,0,Valparaíso,Premium,Ropa,223580.0,ProvD,0.4061767599964219
8,2023-01-06,86,129,15,318551.0,Transferencia,Tienda Física,4778265.0,1,4,1,1,Coquimbo,VIP,Hogar,447866.0,ProvF,0.288735916546467
9,2023-01-06,250,108,14,162931.0,Tarjeta Débito,Marketplace,2281034.0,1,4,1,0,Coquimbo,Nuevo,Ropa,367800.0,ProvB,0.5570119630233823
11,2023-01-08,117,3,18,96272.0,Tarjeta Débito,Web,1732896.0,1,6,1,0,Araucanía,Premium,Alimentos,398101.0,ProvF,0.7581719211958774
12,2023-01-09,7,193,11,347626.0,Webpay,Tienda Física,3823886.0,1,0,1,0,Los Lagos,Regular,Belleza,481648.0,ProvB,0.2782571504501212
13,2023-01-09,137,132,3,110139.0,Transferencia,,330417.0,1,0,1,0,Biobío,Premium,Hogar,452786.0,ProvF,0.7567526381116024
14,2023-01-10,176,,10,298056.0,Transferencia,Marketplace,2980560.0,1,1,1,1,Coquimbo,VIP,Belleza,,ProvF,
16,2023-01-11,82,106,16,331323.0,Tarjeta Débito,Tienda Física,5301168.0,1,2,1,0,Los Lagos,Premium,Alimentos,314842.0,ProvD,-0.052346891456667155
17,2023-01-12,223,98,12,407655.0,Efectivo,Web,4891860.0,1,3,1,0,Biobío,VIP,Belleza,36523.0,ProvD,-1.0
18,2023-01-13,103,10,2,389235.0,Webpay,App,778470.0,1,4,1,0,Biobío,Premium,Hogar,233333.0,ProvC,-0.6681523830748329
21,2023-01-15,159,46,15,45104.0,Webpay,Marketplace,676560.0,1,6,1,0,Valparaíso,Regular,Deportes,330438.0,ProvE,0.8635023816873362
22,2023-01-16,152,155,3,349775.0,Tarjeta Débito,App,1049325.0,1,0,1,0,Coquimbo,Regular,Belleza,271278.5,ProvA,-0.2893576158818336
24,2023-01-17,188,169,18,216741.0,Transferencia,Marketplace,3901338.0,1,1,1,0,Araucanía,VIP,Belleza,473677.0,ProvA,0.5424287014146771
25,2023-01-18,98,112,8,16543.0,Tarjeta Débito,Marketplace,132344.0,1,2,1,0,O'Higgins,Nuevo,Belleza,375557.0,ProvB,0.9559507611361258
26,2023-01-19,,13,17,130529.0,Efectivo,Web,2218993.0,1,3,1,0,O'Higgins,Nuevo,Hogar,295826.0,ProvC,0.5587642735932609
27,2023-01-19,293,137,8,17805.0,Efectivo,Marketplace,142440.0,1,3,1,0,Coquimbo,VIP,Belleza,,ProvF,
28,2023-01-20,171,164,7,439714.0,Transferencia,Web,3077998.0,1,4,1,0,Maule,Nuevo,Belleza,43334.0,ProvB,-1.0
30,2023-01-22,39,90,3,279111.0,Transferencia,Web,837333.0,1,6,1,0,Araucanía,Nuevo,Belleza,480634.0,ProvA,0.4192857767032711
31,2023-01-22,15,58,1,20451.0,Webpay,App,20451.0,1,6,1,0,Araucanía,Nuevo,Deportes,23955.0,ProvD,0.14627426424546025
32,2023-01-23,4,54,4,333757.0,Webpay,Marketplace,1335028.0,1,0,1,0,O'Higgins,Nuevo,Alimentos,178630.0,ProvC,-0.8684263561551812
33,2023-01-24,210,12,5,162191.0,Transferencia,App,810955.0,1,1,1,1,Coquimbo,Premium,Hogar,143984.0,ProvA,-0.12645155017224136
34,2023-01-25,161,14,1,449062.0,Tarjeta Débito,Marketplace,449062.0,1,2,1,0,Coquimbo,Premium,Belleza,,ProvF,
35,2023-01-25,16,121,15,444171.0,Efectivo,Marketplace,6662565.0,1,2,1,1,Coquimbo,Nuevo,Belleza,215068.0,ProvE,-1.0
36,2023-01-26,108,162,5,163320.0,Webpay,Tienda Física,816600.0,1,3,1,0,O'Higgins,Regular,Alimentos,353415.0,ProvF,0.5378803955689487
37,2023-01-27,227,181,13,450579.0,Webpay,Web,5857527.0,1,4,1,0,Valparaíso,Nuevo,Alimentos,234862.0,ProvF,-0.9184840459503879
38,2023-01-28,,121,8,498083.0,Tarjeta Crédito,App,3984664.0,1,5,1,0,O'Higgins,Nuevo,Belleza,215068.0,ProvE,-1.0
39,2023-01-28,34,20,8,412882.0,Tarjeta Débito,App,3303056.0,1,5,1,0,O'Higgins,Premium,Deportes,385227.0,ProvC,-0.07178884138443048
40,2023-01-29,251,75,5,422591.0,Tarjeta Crédito,App,2112955.0,1,6,1,1,Metropolitana,VIP,Belleza,428388.0,ProvC,0.013532125082868801
41,2023-01-30,247,,9,125255.0,Tarjeta Crédito,Web,1127295.0,1,0,1,0,Maule,Premium,Belleza,,ProvF,
42,2023-01-30,269,70,1,288774.0,Webpay,Tienda Física,288774.0,1,0,1,0,O'Higgins,Nuevo,Belleza,317912.0,ProvE,0.09165429427011249
43,2023-01-31,141,56,4,34561.0,Efectivo,App,138244.0,1,1,1,0,Valparaíso,Regular,Belleza,8182.0,ProvA,-1.0
44,2023-02-01,274,101,3,48364.0,Tarjeta Crédito,Web,145092.0,2,2,1,0,Metropolitana,Nuevo,Belleza,12613.0,ProvB,-1.0
