id_devolucion,id_venta,fecha_devolucion,motivo,estado
1.0,,2023-02-01,Talla incorrecta,En revisión
2.0,88.0,2023-02-05,Llegó dañado,Pendiente
3.0,991.0,10/02/2023,Llegó dañado,
4.0,977.0,2023-02-15,No es lo esperado,Rechazada
5.0,349.0,2023-02-20,Defectuoso,Pendiente
6.0,154.0,2023-02-25,Cambio de opinión,Rechazada
7.0,719.0,02/03/2023,Talla incorrecta,Rechazada
8.0,661.0,2023-03-07,Defectuoso,Procesada
9.0,970.0,2023-03-12,Defectuoso,Rechazada
10.0,61.0,2023-03-17,No es lo esperado,Pendiente
11.0,648.0,21/03/2023,Cambio de opinión,Rechazada
12.0,170.0,2023-03-26,Talla incorrecta,En revisión
13.0,963.0,2023-03-31,Cambio de opinión,Rechazada
14.0,834.0,2023-04-05,No es lo esperado,Procesada
15.0,777.0,2023-04-10,Llegó dañado,Pendiente
16.0,250.0,15/04/2023,Defectuoso,Procesada
17.0,14.0,2023-04-20,Talla incorrecta,En revisión
18.0,493.0,2023-04-25,Llegó dañado,
19.0,217.0,,No es lo esperado,Procesada
20.0,266.0,05/05/2023,Cambio de opinión,Procesada
21.0,935.0,09/05/2023,Defectuoso,Procesada
22.0,318.0,14/05/2023,Talla incorrecta,Procesada
23.0,81.0,19/05/2023,Llegó dañado,
24.0,,24/05/2023,Llegó dañado,En revisión
25.0,890.0,29/05/2023,Defectuoso,Rechazada
26.0,345.0,03/06/2023,Cambio de opinión,Rechazada
27.0,327.0,08/06/2023,No es lo esperado,Pendiente
28.0,892.0,2023-06-13,Cambio de opinión,
29.0,399.0,18/06/2023,Cambio de opinión,Procesada
30.0,951.0,23/06/2023,Cambio de opinión,
31.0,201.0,2023-06-27,Defectuoso,Pendiente
32.0,435.0,2023-07-02,Defectuoso,Procesada
33.0,427.0,,No es lo esperado,Pendiente
34.0,588.0,2023-07-12,Cambio de opinión,Rechazada
35.0,854.0,17/07/2023,Defectuoso,En revisión
36.0,666.0,22/07/2023,No es lo esperado,
37.0,954.0,27/07/2023,No es lo esperado,Procesada
38.0,665.0,2023-08-01,Cambio de opinión,Pendiente
39.0,164.0,2023-08-06,,Rechazada
40.0,312.0,2023-08-11,Cambio de opinión,Procesada
41.0,589.0,15/08/2023,,Rechazada
42.0,113.0,2023-08-20,No es lo esperado,Rechazada
43.0,370.0,2023-08-25,Defectuoso,Pendiente
44.0,677.0,2023-08-30,Llegó dañado,Rechazada
,860.0,2023-09-04,No es lo esperado,Procesada
46.0,855.0,2023-09-09,Defectuoso,Rechazada
47.0,981.0,14/09/2023,No es lo esperado,Rechazada
48.0,630.0,2023-09-19,Cambio de opinión,Pendiente
49.0,505.0,24/09/2023,Talla incorrecta,Rechazada
50.0,783.0,2023-09-29,No es lo esperado,En revisión
51.0,,2023-10-03,Defectuoso,Pendiente
