id_producto,nombre,categoria,subcategoria,precio_lista,stock,proveedor
1.0,Producto_1,Belleza,Sub_A,325332.0,226.0,ProvE
2.0,Producto_2,Deportes,Sub_E,351281.0,146.0,ProvB
3.0,Producto_3,Alimentos,Sub_D,398101.0,19.0,ProvF
4.0,Producto_4,Belleza,Sub_D,,440.0,ProvE
5.0,Producto_5,Hogar,Sub_D,169660.0,401.0,ProvB
6.0,Producto_6,Alimentos,Sub_D,,46.0,ProvE
7.0,Producto_7,Alimentos,Sub_D,47897.0,232.0,ProvF
8.0,Producto_8,Belleza,,289562.0,304.0,ProvC
9.0,Producto_9,Ropa,Sub_B,18935.0,13.0,ProvC
10.0,Producto_10,Hogar,Sub_D,233333.0,142.0,ProvC
11.0,Producto_11,Belleza,Sub_A,271780.0,414.0,ProvC
12.0,Producto_12,Hogar,Sub_A,143984.0,0.0,ProvA
13.0,,Hogar,Sub_A,295826.0,372.0,ProvC
,Producto_14,Alimentos,Sub_A,16220.0,53.0,ProvF
15.0,Producto_15,Deportes,Sub_C,19637.0,373.0,ProvD
16.0,Producto_16,Hogar,Sub_A,411478.0,258.0,ProvD
17.0,Producto_17,Tecnología,,180735.0,143.0,ProvA
18.0,Producto_18,Alimentos,Sub_E,64403.0,470.0,ProvC
19.0,Producto_19,,Sub_A,261599.0,440.0,ProvC
20.0,Producto_20,Deportes,Sub_C,385227.0,458.0,ProvC
21.0,Producto_21,Tecnología,Sub_C,108695.0,11.0,ProvE
22.0,Producto_22,Tecnología,Sub_A,311822.0,329.0,ProvB
23.0,Producto_23,ROPA,Sub_E,43588.0,223.0,ProvE
24.0,Producto_24,Deportes,Sub_A,26789.0,271.0,ProvB
25.0,Producto_25,ALIMENTOS,,266146.0,455.0,ProvC
26.0,Producto_26,Electrónica,Sub_B,270777.0,357.0,ProvC
27.0,,Deportes,,,459.0,ProvE
28.0,Producto_28,,,363320.0,407.0,ProvE
29.0,Producto_29,,Sub_A,487950.0,155.0,ProvB
30.0,Producto_30,Alimentos,Sub_D,258634.0,372.0,ProvD
31.0,Producto_31,,Sub_A,162155.0,7.0,ProvB
32.0,Producto_32,  Electrónica  ,Sub_A,397798.0,121.0,ProvE
33.0,Producto_33,Electrónica,Sub_B,,347.0,ProvF
,Producto_34,Hogar,Sub_D,220047.0,163.0,ProvE
35.0,Producto_35,Hogar,Sub_D,40150.0,89.0,ProvF
36.0,Producto_36,Belleza,Sub_B,13650.0,135.0,ProvA
37.0,Producto_37,Ropa,Sub_C,481362.0,185.0,ProvE
38.0,Producto_38,Deportes,Sub_A,418154.0,315.0,ProvA
39.0,,Deportes,Sub_E,348291.0,177.0,ProvD
40.0,Producto_40,Belleza,Sub_A,205068.0,27.0,ProvB
41.0,Producto_41,tecnología,Sub_A,87474.0,219.0,ProvF
42.0,Producto_42,Tecnología,Sub_C,79062.0,356.0,ProvB
43.0,Producto_43,Belleza,Sub_A,125871.0,40.0,ProvA
44.0,Producto_44,,Sub_B,275064.0,227.0,ProvF
45.0,Producto_45,Hogar,Sub_B,357583.0,191.0,ProvB
46.0,Producto_46,Deportes,Sub_D,330438.0,,ProvE
47.0,Producto_47,Belleza,Sub_E,140687.0,,ProvC
48.0,Producto_48,Deportes,Sub_A,477478.0,144.0,ProvA
49.0,Producto_49,Electrónica,Sub_A,369211.0,200.0,ProvB
50.0,Producto_50,,Sub_C,277623.0,416.0,ProvA
51.0,Producto_51,  Alimentos  ,Sub_B,306249.0,,ProvA
52.0,Producto_52,Hogar,Sub_E,210380.0,460.0,ProvF
53.0,Producto_53,  Belleza  ,Sub_D,124618.0,219.0,ProvF
54.0,Producto_54,alimentos,Sub_B,178630.0,239.0,ProvC
55.0,Producto_55,Electrónica,Sub_D,379165.0,412.0,ProvE
56.0,Producto_56,Belleza,Sub_C,8182.0,396.0,ProvA
57.0,Producto_57,  Ropa  ,Sub_C,58920.0,45.0,ProvB
