id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,metodo_pago,canal_venta
,01/01/2023,26.0,128.0,1.0,411094.0,Tarjeta Crédito,Web
2.0,2023-01-01,47.0,111.0,8.0,330096.0,Tarjeta Débito,Web
3.0,02/01/2023,288.0,136.0,19.0,398324.0,WEBPAY,Tienda Física
4.0,2023-01-03,266.0,106.0,,136701.0,  Webpay  ,Tienda Física
5.0,03/01/2023,16.0,186.0,3.0,346487.0,Webpay,Marketplace
6.0,2023-01-04,199.0,144.0,5.0,132767.0,Tarjeta Débito,Web
7.0,05/01/2023,282.0,72.0,,469595.0,  Webpay  ,Tienda Física
8.0,06/01/2023,86.0,129.0,15.0,318551.0,Transferencia,Tienda Física
9.0,2023-01-06,250.0,108.0,14.0,162931.0,  Tarjeta Débito  ,Marketplace
,2023-01-07,270.0,5.0,16.0,135486.0,Transferencia,App
11.0,2023-01-08,117.0,3.0,18.0,96272.0,Tarjeta Débito,Web
12.0,09/01/2023,7.0,193.0,11.0,347626.0,webpay,Tienda Física
13.0,09/01/2023,137.0,132.0,3.0,110139.0,Transferencia,
14.0,10/01/2023,176.0,,10.0,298056.0,Transferencia,Marketplace
15.0,11/01/2023,215.0,64.0,10.0,,Transferencia,Marketplace
16.0,2023-01-11,82.0,106.0,16.0,331323.0,Tarjeta Débito,Tienda Física
17.0,2023-01-12,223.0,98.0,12.0,407655.0,Efectivo,Web
18.0,13/01/2023,103.0,10.0,2.0,389235.0,Webpay,App
19.0,14/01/2023,273.0,149.0,9.0,,Transferencia,Web
20.0,14/01/2023,,128.0,,94673.0,  Efectivo  ,Marketplace
21.0,2023-01-15,159.0,46.0,15.0,45104.0,Webpay,Marketplace
22.0,16/01/2023,152.0,155.0,3.0,349775.0,,App
23.0,17/01/2023,108.0,66.0,,184805.0,Transferencia,Web
24.0,2023-01-17,188.0,169.0,18.0,216741.0,  Transferencia  ,Marketplace
25.0,18/01/2023,98.0,112.0,8.0,16543.0,Tarjeta Débito,Marketplace
26.0,2023-01-19,,13.0,17.0,130529.0,efectivo,Web
27.0,19/01/2023,293.0,137.0,8.0,17805.0,  Efectivo  ,Marketplace
28.0,2023-01-20,171.0,164.0,7.0,439714.0,  Transferencia  ,Web
29.0,2023-01-21,183.0,86.0,7.0,$122455.0,Webpay,Marketplace
30.0,22/01/2023,39.0,90.0,3.0,279111.0,Transferencia,Web
31.0,2023-01-22,15.0,58.0,1.0,20451.0,webpay,App
32.0,2023-01-23,4.0,54.0,4.0,333757.0,Webpay,Marketplace
33.0,2023-01-24,210.0,12.0,5.0,162191.0,  Transferencia  ,App
34.0,2023-01-25,161.0,14.0,1.0,449062.0,,Marketplace
35.0,2023-01-25,16.0,121.0,15.0,444171.0,Efectivo,Marketplace
36.0,26/01/2023,108.0,162.0,5.0,163320.0,WEBPAY,Tienda Física
37.0,2023-01-27,227.0,181.0,13.0,450579.0,Webpay,Web
38.0,28/01/2023,,121.0,8.0,498083.0,  Tarjeta Crédito  ,App
39.0,2023-01-28,34.0,20.0,8.0,412882.0,,App
40.0,2023-01-29,251.0,75.0,5.0,422591.0,Tarjeta Crédito,App
41.0,30/01/2023,247.0,,9.0,125255.0,Tarjeta Crédito,Web
42.0,30/01/2023,269.0,70.0,1.0,288774.0,webpay,Tienda Física
43.0,31/01/2023,141.0,56.0,4.0,34561.0,Efectivo,App
44.0,01/02/2023,274.0,101.0,3.0,48364.0,Tarjeta Crédito,Web
45.0,2023-02-02,,186.0,2.0,~499447.0,TARJETA DÉBITO,Marketplace
46.0,2023-02-02,227.0,132.0,8.0,163993.0,  Transferencia  ,App
47.0,03/02/2023,39.0,111.0,9.0,374344.0,Tarjeta Crédito,App
48.0,04/02/2023,29.0,125.0,2.0,403526.0,  Tarjeta Crédito  ,Tienda Física
49.0,2023-02-05,245.0,132.0,14.0,429154.0,Tarjeta Débito,App
50.0,05/02/2023,236.0,20.0,14.0,498817.0,Efectivo,App
,,,138.0,4.0,,Tarjeta Crédito,Marketplace
52.0,2023-02-07,272.0,24.0,6.0,21135.0,Tarjeta Crédito,Web
53.0,2023-02-07,236.0,154.0,11.0,206185.0,Efectivo,Web
54.0,2023-02-08,239.0,37.0,3.0,65910.0,Tarjeta Débito,Tienda Física
55.0,09/02/2023,266.0,54.0,8.0,12191.0,Tarjeta Crédito,
56.0,10/02/2023,65.0,103.0,,180853.0,Efectivo,Web
57.0,10/02/2023,177.0,149.0,14.0,392085.0,Tarjeta Crédito,Marketplace
58.0,11/02/2023,3.0,38.0,,283524.0,Transferencia,Web
59.0,2023-02-12,142.0,174.0,13.0,157076.0,Webpay,Marketplace
60.0,2023-02-13,158.0,4.0,2.0,327517.0,Transferencia,Tienda Física
61.0,2023-02-13,146.0,188.0,13.0,116777.0,Tarjeta Crédito,App
